"city","state_code","median_sale_price"
"BEVERLY HILLS","CA","1595000"
"BEVERLY HILLS","CA","1391000"
"BEVERLY HILLS","CA","4550000"
"BEVERLY HILLS","CA","6200000"
"BEVERLY HILLS","CA","3218000"
"BEVERLY HILLS","CA","6175000"
"BEVERLY HILLS","CA","4165000"
"BEVERLY HILLS","CA","1560000"
"BEVERLY HILLS","CA","2637500"
"BEVERLY HILLS","CA","4777500"
"BEVERLY HILLS","CA","2050000"
"BEVERLY HILLS","CA","1845000"
"BEVERLY HILLS","CA","2050000"
"BEVERLY HILLS","CA","1405000"
"BEVERLY HILLS","CA","3650000"
"BEVERLY HILLS","CA","5995000"
"BEVERLY HILLS","CA","8859000"
"BEVERLY HILLS","CA","6362500"
"BEVERLY HILLS","CA","2370000"
"BEVERLY HILLS","CA","3237500"
"BEVERLY HILLS","CA","2150000"
"BEVERLY HILLS","CA","9500000"
"BEVERLY HILLS","CA","5211000"
"BEVERLY HILLS","CA","1175000"
"BEVERLY HILLS","CA","2825000"
"BEVERLY HILLS","CA","5777500"
"BEVERLY HILLS","CA","1319000"
"BEVERLY HILLS","CA","3435000"
"BEVERLY HILLS","CA","1585000"
"BEVERLY HILLS","CA","3074500"
"BEVERLY HILLS","CA","1463500"
"BEVERLY HILLS","CA","3200000"
"BEVERLY HILLS","CA","6542500"
"BEVERLY HILLS","CA","2700000"
"BEVERLY HILLS","CA","4862500"
"BEVERLY HILLS","CA","3655000"
"BEVERLY HILLS","CA","5162750"
"BEVERLY HILLS","CA","4420000"
"BEVERLY HILLS","CA","1299000"
"BEVERLY HILLS","CA","4425000"
"BEVERLY HILLS","CA","3435000"
"BEVERLY HILLS","CA","5000000"
"BEVERLY HILLS","CA","5237500"
"BEVERLY HILLS","CA","1149000"
"BEVERLY HILLS","CA","3152000"
"BEVERLY HILLS","CA","3495000"
"BEVERLY HILLS","CA","3000000"
"BEVERLY HILLS","CA","1340100"
"BEVERLY HILLS","CA","1315000"
"BEVERLY HILLS","CA","4293500"
"BEVERLY HILLS","CA","3215000"
"BEVERLY HILLS","CA","4325000"
"BEVERLY HILLS","CA","1378000"
"BEVERLY HILLS","CA","1185000"
"BEVERLY HILLS","CA","1100000"
"BEVERLY HILLS","CA","2812500"
"BEVERLY HILLS","CA","5626000"
"BEVERLY HILLS","CA","8750000"
"BEVERLY HILLS","CA","955840"
"BEVERLY HILLS","CA","2740000"
"BEVERLY HILLS","CA","1737500"
"BEVERLY HILLS","CA","1725000"
"BEVERLY HILLS","CA","8897000"
"BEVERLY HILLS","CA","9150000"
"BEVERLY HILLS","CA","2550000"
"BEVERLY HILLS","CA","2675000"
"BEVERLY HILLS","CA","1187500"
"BEVERLY HILLS","CA","572500"
"BEVERLY HILLS","CA","6409000"
"BEVERLY HILLS","CA","2097500"
"BEVERLY HILLS","CA","5800000"
"BEVERLY HILLS","CA","4638000"
"BEVERLY HILLS","CA","3300000"
"BEVERLY HILLS","CA","2875500"
"BEVERLY HILLS","CA","2050000"
"BEVERLY HILLS","CA","970000"
"BEVERLY HILLS","CA","3050000"
"BEVERLY HILLS","CA","875000"
"BEVERLY HILLS","CA","4412500"
"BEVERLY HILLS","CA","1228000"
"BEVERLY HILLS","CA","5750000"
"BEVERLY HILLS","CA","3155000"
"BEVERLY HILLS","CA","3000000"
"BEVERLY HILLS","CA","2299000"
"BEVERLY HILLS","CA","7150000"
"BEVERLY HILLS","CA","1530000"
"BEVERLY HILLS","CA","1350000"
"BEVERLY HILLS","CA","1118000"
"BEVERLY HILLS","CA","1360000"
"BEVERLY HILLS","CA","6041250"
"BEVERLY HILLS","CA","3130000"
"BEVERLY HILLS","CA","5592500"
"BEVERLY HILLS","CA","3042500"
"BEVERLY HILLS","CA","3138000"
"BEVERLY HILLS","CA","816000"
"BEVERLY HILLS","CA","1279000"
"BEVERLY HILLS","CA","747500"
"BEVERLY HILLS","CA","1521000"
"BEVERLY HILLS","CA","1285000"
"BEVERLY HILLS","CA","4750000"
"BEVERLY HILLS","CA","2325000"
"BEVERLY HILLS","CA","3225000"
"BEVERLY HILLS","CA","673000"
"BEVERLY HILLS","CA","750000"
"BEVERLY HILLS","CA","2762500"
"BEVERLY HILLS","CA","5175000"
"BEVERLY HILLS","CA","10200000"
"BEVERLY HILLS","CA","1920000"
"BEVERLY HILLS","CA","2565000"
"BEVERLY HILLS","CA","2000000"
"BEVERLY HILLS","CA","3405000"
"BEVERLY HILLS","CA","3160000"
"BEVERLY HILLS","CA","2000000"
"BEVERLY HILLS","CA","1160000"
"BEVERLY HILLS","CA","1465000"
"BEVERLY HILLS","CA","1775000"
"BEVERLY HILLS","CA","2500000"
"BEVERLY HILLS","CA","2940000"
"BEVERLY HILLS","CA","1865000"
"BEVERLY HILLS","CA","4800000"
"BEVERLY HILLS","CA","3927000"
"BEVERLY HILLS","CA","1050000"
"BEVERLY HILLS","CA","2862000"
"BEVERLY HILLS","CA","2702500"
"BEVERLY HILLS","CA","6100000"
"BEVERLY HILLS","CA","2615250"
"BEVERLY HILLS","CA","1319000"
"BEVERLY HILLS","CA","2525000"
"BEVERLY HILLS","CA","3025000"
"BEVERLY HILLS","CA","3250000"
"BEVERLY HILLS","CA","6088000"
